,open,high,low,close,volume,is_trading_day,days_since_last_trading,pct_change
2017-07-07,83.0,83.54,82.6,83.04,5505,1,1.0,0.7522446008250583
2017-07-10,83.24,83.32,82.78,83.31,9720,1,3.0,0.32514450867051625
2017-07-11,83.11,83.18,81.55,82.74,40715,1,1.0,-0.6841915736406246
2017-07-12,82.18,83.55,82.18,83.16,15025,1,1.0,0.5076142131979822
2017-07-13,83.04,83.43,82.65,83.08,7475,1,1.0,-0.09620009620009418
2017-07-14,82.85,83.39,82.85,83.39,3825,1,1.0,0.3731343283582156
2017-07-17,83.49,83.67,83.29,83.29,11030,1,3.0,-0.11991845545028523
2017-07-18,83.43,83.8,83.1,83.19,6735,1,1.0,-0.12006243246489579
2017-07-19,83.38,83.38,82.37,82.75,4525,1,1.0,-0.5289097247265229
2017-07-20,83.35,83.5,82.0,82.0,15315,1,1.0,-0.9063444108761365
2017-07-21,82.56,82.93,82.21,82.76,25435,1,1.0,0.9268292682926838
2017-07-24,82.65,82.68,81.6,81.91,13980,1,3.0,-1.0270662155630883
2017-07-25,81.79,83.1,81.79,83.1,13990,1,1.0,1.452814064216823
2017-07-26,83.18,84.35,82.93,84.17,34755,1,1.0,1.2876052948255223
2017-07-27,83.78,83.78,81.33,81.6,28325,1,1.0,-3.0533444220031014
2017-07-28,81.8,82.59,81.7,82.42,10780,1,1.0,1.0049019607843324
2017-07-31,82.79,83.81,82.18,82.85,15555,1,3.0,0.5217180296044566
2017-08-01,83.02,83.04,81.55,82.16,22305,1,1.0,-0.8328304164152089
2017-08-02,82.2,82.83,80.94,80.97,22090,1,1.0,-1.4483933787731273
2017-08-03,80.7,80.7,78.86,78.98,18195,1,1.0,-2.4577003828578414
2017-08-04,79.11,80.64,79.11,80.6,7385,1,1.0,2.0511521904279517
2017-08-07,80.71,81.79,80.71,81.79,25170,1,3.0,1.4764267990074575
2017-08-08,81.02,82.32,80.87,81.89,22350,1,1.0,0.12226433549333837
2017-08-09,81.94,82.73,81.01,82.57,198385,1,1.0,0.8303822200512734
2017-08-10,82.49,82.5,81.15,81.31,8380,1,1.0,-1.5259779580961474
2017-08-11,80.54,81.76,80.51,81.51,28285,1,1.0,0.24597220514082085
2017-08-14,82.95,83.3,81.84,82.04,9580,1,3.0,0.6502269660164428
2017-08-15,82.0,82.0,81.14,81.18,11005,1,1.0,-1.0482691370063413
2017-08-16,82.1,83.68,81.96,83.68,44175,1,1.0,3.079576250307947
2017-08-17,79.61,79.83,76.71,77.2,111245,1,1.0,-7.74378585086043
2017-08-18,77.54,79.56,77.54,79.11,32515,1,1.0,2.4740932642487
2017-08-21,78.73,78.73,76.91,78.21,28775,1,3.0,-1.1376564277588264
2017-08-22,78.13,78.13,76.57,76.99,28410,1,1.0,-1.559902825725612
2017-08-23,76.42,76.69,75.73,76.08,28640,1,1.0,-1.1819716846343642
2017-08-24,76.22,76.82,75.82,76.11,34435,1,1.0,0.03943217665616228
2017-08-25,77.0,77.22,76.15,76.15,10560,1,1.0,0.05255551175931128
2017-08-28,75.82,76.12,75.17,75.71,15620,1,3.0,-0.5778069599474911
2017-08-29,75.4,75.4,74.09,75.21,38790,1,1.0,-0.6604147404570049
2017-08-30,74.95,75.65,74.85,75.48,19400,1,1.0,0.35899481451935333
2017-08-31,75.75,76.86,75.4,76.61,17130,1,1.0,1.4970853206147217
2017-09-01,77.17,77.6,76.71,77.01,9710,1,1.0,0.5221250489492402
2017-09-04,76.97,77.95,76.89,77.39,11435,1,3.0,0.4934424100766055
2017-09-05,77.35,77.6,77.01,77.16,14285,1,1.0,-0.2971960201576529
2017-09-06,76.96,77.13,75.83,76.02,25865,1,1.0,-1.477449455676516
2017-09-07,75.89,76.39,75.47,75.91,30255,1,1.0,-0.14469876348329747
2017-09-08,75.68,75.87,75.33,75.45,63705,1,1.0,-0.6059807666974004
2017-09-11,75.81,77.28,75.81,77.2,14315,1,3.0,2.319416832339294
2017-09-12,77.17,77.25,76.0,76.45,10205,1,1.0,-0.9715025906735786
2017-09-13,76.01,76.2,75.06,75.2,18350,1,1.0,-1.6350555918901222
2017-09-14,75.07,75.66,74.75,75.66,23130,1,1.0,0.6117021276595747
2017-09-15,74.66,74.99,72.82,73.06,29105,1,1.0,-3.4364261168384758
2017-09-18,73.5,74.83,72.9,74.45,26660,1,3.0,1.9025458527237804
2017-09-19,74.71,74.88,73.87,74.62,8220,1,1.0,0.22834116856951248
2017-09-20,74.98,75.55,74.86,75.24,27510,1,1.0,0.8308764406325331
2017-09-21,75.39,75.69,74.88,75.25,12240,1,1.0,0.013290802764487353
2017-09-22,74.53,74.53,73.36,73.62,25455,1,1.0,-2.1661129568106285
